Q1,Q2,Q3_1,Q4,Q5,Q6,Q7,Q8,Q9.a,Q9.b,Q9.c,Q10,Q11,Q12,Q13,Q14
18 - 24,Female,Italy,Several times a day,Agree,Agree,Agree,Neither agree nor disagree,Neither understand nor misunderstand,Agree,,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
25 - 34,Female,Netherlands,Several times a day,Agree,Agree,Strongly agree,Strongly agree,Do not understand at all,Agree,,Moderately aligned,Somewhat increases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,Greece,Several times a day,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat understand,Neither agree nor disagree,,Very aligned,No effect on trust,Somewhat decreases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,The Netherlands,Several times a day,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat do not understand,Neither agree nor disagree,,Moderately aligned,No effect on trust,No effect on my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
18 - 24,Male,Spain ,Several times a day,Agree,Agree,Agree,Strongly agree,Neither understand nor misunderstand,Strongly agree,,Moderately aligned,Somewhat increases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,England,Several times a day,Disagree,Agree,Agree,Agree,Do not understand at all,Neither agree nor disagree,,Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,United Kingdom ,Several times a day,Disagree,Strongly agree,Agree,Agree,Somewhat understand,Agree,,Moderately aligned,Somewhat decreases trust,Somewhat increases my willingness,I generally ignore policy updates,Somewhat increases my willingness to continue
18 - 24,Male,Cyprus ,Several times a day,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat do not understand,Strongly agree,,Slightly aligned,Somewhat decreases trust,Somewhat decreases my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
18 - 24,Female,Netherlands ,Several times a day,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat do not understand,Agree,,Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
Under 18,Male,Greece,Several times a day,Agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat understand,Agree,,Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I am seldom aware of policy changes,No effect on my willingness to continue
18 - 24,Female,greece,Several times a day,Agree,Agree,Neither agree nor disagree,Disagree,Somewhat do not understand,Agree,,Moderately aligned,Significantly increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,Greece,Several times a day,Agree,Neither agree nor disagree,Agree,Strongly agree,Fully understand,Agree,"Gives me the option to opt out. In the case I allow that, I'm more conscious of what platforms I choose to use ",Moderately aligned,Somewhat decreases trust,No effect on my willingness,I read the full policy when notified of changes,No effect on my willingness to continue
18 - 24,Male,Netherlands ,Several times a day,Disagree,Agree,Agree,Agree,Somewhat do not understand,Strongly agree,,Slightly aligned,Somewhat decreases trust,Somewhat increases my willingness,I skim the policy for key changes,No effect on my willingness to continue
18 - 24,Female,Athens ,Several times a day,Agree,Disagree,Agree,Strongly agree,Neither understand nor misunderstand,Strongly agree,Makes me feel used/exploited ,Not at all aligned,No effect on trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,United Kingdom,Several times a day,Disagree,Neither agree nor disagree,Agree,Disagree,Somewhat do not understand,Strongly agree,I would not want to share my data wether I get paid or not. Worse if they get paid for it,Not at all aligned,Somewhat increases trust,Greatly decreases my willingness,I generally ignore policy updates,No effect on my willingness to continue
25 - 34,Female,UK,Several times a day,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Somewhat understand,Agree,,Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I skim the policy for key changes,Greatly decreases my willingness to continue
18 - 24,Female,Netherlands ,Several times a day,Strongly disagree,Agree,Agree,Neither agree nor disagree,Somewhat understand,Strongly agree,If you understand it will be easier to make a choice whether you want to share your data or not ,Very aligned,Somewhat increases trust,No effect on my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
18 - 24,Male,Netherlands,Less than once a week,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither understand nor misunderstand,Strongly agree,It can be easier to understand what kind of data they are using and why.,Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,Ireland,Several times a day,Neither agree nor disagree,Agree,Agree,Agree,Do not understand at all,Agree,,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
18 - 24,Male,Greece,Several times a day,Disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat do not understand,Neither agree nor disagree,,Moderately aligned,No effect on trust,No effect on my willingness,I skim the policy for key changes,Somewhat decreases my willingness to continue
18 - 24,Male,Germany,Several times a day,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat do not understand,Strongly agree,,Slightly aligned,Somewhat increases trust,No effect on my willingness,I am seldom aware of policy changes,No effect on my willingness to continue
18 - 24,Female,Turkey,Several times a day,Agree,Agree,Strongly agree,Strongly agree,Neither understand nor misunderstand,Neither agree nor disagree,,Moderately aligned,Significantly increases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,Belgium,Several times a day,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat do not understand,Agree,,Moderately aligned,No effect on trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,Netherlands,Several times a day,Agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat understand,Agree,,Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,GREECE,Several times a day,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat do not understand,Strongly agree,,Slightly aligned,Significantly increases trust,Greatly increases my willingness,I am seldom aware of policy changes,No effect on my willingness to continue
18 - 24,Male,GREECE,Several times a day,Neither agree nor disagree,Agree,Agree,Agree,Fully understand,Agree,"Personally i believe that clarity is a paramount deciding factor when it comes to personal data. It creates a sense of trust to the user and it gives him the opportunity to accurately decide whether or not he wants to share his data ,according to the intentions of the company.(Given that the company says the truth)",Slightly aligned,Significantly increases trust,Somewhat increases my willingness,I skim the policy for key changes,Somewhat increases my willingness to continue
18 - 24,Female,Turkey,Several times a day,Agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat understand,Strongly agree,To gain a more understanding view on what I am agreeing on while signing an electronic contract,Very aligned,Significantly increases trust,Greatly increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,The Netherlands,Several times a day,Strongly agree,Agree,Agree,Agree,Somewhat understand,Neither agree nor disagree,,Slightly aligned,Somewhat increases trust,No effect on my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
18 - 24,Male,Greece,Several times a day,Neither agree nor disagree,Agree,Agree,Strongly agree,Somewhat understand,Strongly agree,,Moderately aligned,Somewhat increases trust,Somewhat decreases my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
18 - 24,Male,GREECE,Several times a day,Strongly disagree,Strongly agree,Agree,Agree,Do not understand at all,Strongly agree,,Slightly aligned,Somewhat increases trust,No effect on my willingness,I am seldom aware of policy changes,No effect on my willingness to continue
18 - 24,Male,Greece ,Several times a day,Disagree,Agree,Neither agree nor disagree,Agree,Somewhat understand,Disagree,,Moderately aligned,Somewhat decreases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,Uk,Several times a day,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat understand,Strongly agree,,Slightly aligned,Significantly decreases trust,Greatly decreases my willingness,I generally ignore policy updates,Greatly decreases my willingness to continue
18 - 24,Male,Greece,A few times a week,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Somewhat do not understand,Agree,,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,Greatly decreases my willingness to continue
18 - 24,Male,Germany ,Once a day,Disagree,Agree,Neither agree nor disagree,Agree,Somewhat do not understand,Agree,,Slightly aligned,Somewhat increases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,Greece,Several times a day,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat do not understand,Agree,,Moderately aligned,Somewhat increases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,United Kingdom,Several times a day,Disagree,Agree,Agree,Agree,Somewhat understand,Strongly agree,,Slightly aligned,Somewhat decreases trust,No effect on my willingness,I skim the policy for key changes,No effect on my willingness to continue
18 - 24,Female,Greece Athens ,Several times a day,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat do not understand,Strongly agree,,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
25 - 34,Male,Greece ,Several times a day,Strongly agree,Agree,Strongly disagree,Agree,Somewhat understand,Disagree,,Very aligned,Significantly increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,Greece ,Several times a day,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat understand,Strongly agree,It doesnt,Very aligned,Significantly decreases trust,Somewhat decreases my willingness,I am seldom aware of policy changes,No effect on my willingness to continue
25 - 34,Male,Greece ,Several times a day,Strongly disagree,Agree,Agree,Agree,Somewhat understand,Neither agree nor disagree,,Moderately aligned,Somewhat increases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,Greece ,Several times a day,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat understand,Strongly agree,,Moderately aligned,Significantly increases trust,Greatly increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,Greece,Several times a day,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat do not understand,Neither agree nor disagree,,Not at all aligned,Somewhat increases trust,Somewhat increases my willingness,I am seldom aware of policy changes,No effect on my willingness to continue
18 - 24,Male,Greece,Several times a day,Disagree,Agree,Strongly agree,Agree,Somewhat do not understand,Strongly agree,"It doesn't explicitly change my decision, but if they're going to do it I'd prefer if at least they had the decency to be transparent with it.",Slightly aligned,Significantly decreases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,England,Several times a day,Agree,Agree,Strongly agree,Strongly agree,Somewhat understand,Strongly agree,,Slightly aligned,Significantly increases trust,Greatly increases my willingness,I skim the policy for key changes,No effect on my willingness to continue
25 - 34,Female,United Kingdom,Several times a day,Neither agree nor disagree,Agree,Agree,Agree,Somewhat understand,Strongly agree,,Very aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
25 - 34,Female,England,Several times a day,Strongly disagree,Agree,Strongly agree,Agree,Do not understand at all,Agree,,Not at all aligned,Significantly decreases trust,Somewhat decreases my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
18 - 24,Female,UK,Several times a day,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither understand nor misunderstand,Neither agree nor disagree,,Moderately aligned,No effect on trust,No effect on my willingness,I skim the policy for key changes,No effect on my willingness to continue
25 - 34,Female,England,Several times a day,Agree,Agree,Agree,Neither agree nor disagree,Somewhat do not understand,Agree,Gives a wider understanding as to what you're agreeing to.,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Male,USA ,Several times a day,Agree,Neither agree nor disagree,Strongly agree,Agree,Somewhat understand,Strongly agree,,Moderately aligned,No effect on trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,Netherlands ,Several times a day,Agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat understand,Agree,,Slightly aligned,Somewhat increases trust,Greatly decreases my willingness,I am seldom aware of policy changes,Somewhat decreases my willingness to continue
18 - 24,Male,Republic of Ecuador,Several times a day,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat understand,Agree,,Moderately aligned,Significantly decreases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
25 - 34,Female,Greece,Less than once a week,Agree,Neither agree nor disagree,Agree,Strongly disagree,Do not understand at all,Strongly agree,,Moderately aligned,Somewhat increases trust,No effect on my willingness,I generally ignore policy updates,Greatly decreases my willingness to continue
18 - 24,Female,Miami USA,Several times a day,Disagree,Strongly agree,Strongly agree,Agree,Somewhat understand,Agree,,Slightly aligned,Somewhat increases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,United Kingdom ,Several times a day,Disagree,Strongly agree,Agree,Neither agree nor disagree,Do not understand at all,Agree,,Slightly aligned,Somewhat decreases trust,Somewhat increases my willingness,I skim the policy for key changes,No effect on my willingness to continue
18 - 24,Female,Trinidad & Tobago ,Several times a day,Strongly agree,Agree,Strongly agree,Agree,Somewhat understand,Agree,I maybe be more inclined to share ,Slightly aligned,Somewhat increases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
25 - 34,Female,United Kingdom,Several times a day,Neither agree nor disagree,Agree,Agree,Agree,Somewhat do not understand,Strongly agree,,Moderately aligned,Somewhat increases trust,Somewhat decreases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Prefer not to say,England,Several times a day,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Somewhat understand,Strongly agree,,Moderately aligned,Somewhat increases trust,No effect on my willingness,I am seldom aware of policy changes,No effect on my willingness to continue
25 - 34,Female,USA,Several times a day,Agree,Disagree,Agree,Disagree,Somewhat understand,Strongly agree,,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I skim the policy for key changes,No effect on my willingness to continue
25 - 34,Female,France ,Several times a day,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat understand,Strongly agree,It does not change. I don't want to trade my data against a better feed. ,Moderately aligned,No effect on trust,Greatly increases my willingness,I skim the policy for key changes,Somewhat decreases my willingness to continue
18 - 24,Female,United States,Several times a day,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Somewhat understand,Agree,,Moderately aligned,Somewhat decreases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
25 - 34,Female,United States,Several times a day,Agree,Strongly agree,Strongly agree,Agree,Somewhat do not understand,Strongly agree,,Slightly aligned,Significantly increases trust,Greatly increases my willingness,I skim the policy for key changes,No effect on my willingness to continue
25 - 34,Female,England ,Several times a day,Agree,Agree,Strongly agree,Agree,Somewhat do not understand,Agree,I feel more confident if I am fully aware of what is happening with my data and why. ,Very aligned,Significantly increases trust,Greatly increases my willingness,I skim the policy for key changes,No effect on my willingness to continue
18 - 24,Female,United States,Several times a day,Agree,Agree,Strongly agree,Strongly agree,Neither understand nor misunderstand,Agree,,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I skim the policy for key changes,No effect on my willingness to continue
18 - 24,Female,Australia ,Several times a day,Disagree,Disagree,Disagree,Agree,Somewhat understand,Agree,"Selling my data isn't that huge of a deal, it's not like they are selling credit card numbers or anything, all they are selling is what I'm looking at, how often I'm on their app or website etc, I don't find it violating at all, but it should be mentioned for the people who do find it uncomfortable because I can see how that would make someone feel that way.",Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
18 - 24,Female,USA,Several times a day,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Somewhat do not understand,Strongly agree,,Not at all aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,United States,Several times a day,Agree,Strongly agree,Strongly agree,Agree,Somewhat understand,Strongly agree,,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I skim the policy for key changes,Somewhat increases my willingness to continue
18 - 24,Female,New Zealand ,Several times a day,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Do not understand at all,Strongly agree,,Not at all aligned,Somewhat increases trust,Somewhat increases my willingness,I am seldom aware of policy changes,No effect on my willingness to continue
18 - 24,Female,Oman,Several times a day,Neither agree nor disagree,Agree,Strongly agree,Agree,Somewhat understand,Strongly agree,"Improves transparency, building more trust.",Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I skim the policy for key changes,Somewhat decreases my willingness to continue
25 - 34,Female,England ,Several times a day,Neither agree nor disagree,Agree,Agree,Agree,Somewhat do not understand,Strongly agree,Will pay more attention and less likely to share,Not at all aligned,Somewhat decreases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,Canada,Several times a day,Disagree,Agree,Agree,Agree,Somewhat do not understand,Strongly agree,,Very aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
25 - 34,Female,United Kingdom ,Several times a day,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Somewhat understand,Agree,"It wouldn't change my decision because of how central social media is to our lives and how connected it makes us to the world, the use of my data for economic gain would not stop my decision to share data.",Moderately aligned,Somewhat decreases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,United Kingdom,Several times a day,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither understand nor misunderstand,Strongly agree,,Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
18 - 24,Female,United kingdom,Several times a day,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Somewhat understand,Strongly agree,,Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I skim the policy for key changes,No effect on my willingness to continue
18 - 24,Female,United Kingdom,Several times a day,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat do not understand,Strongly agree,,Not at all aligned,Significantly increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
25 - 34,Female,England,Several times a day,Neither agree nor disagree,Agree,Agree,Agree,Somewhat do not understand,Agree,,Not at all aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,United States,Several times a day,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat do not understand,Strongly agree,I'd be more careful on who I'm sharing my data with because I see it as supporting these companies that sell my data.,Not at all aligned,Significantly increases trust,Greatly increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,Greece,Several times a day,Strongly agree,Strongly disagree,Agree,Strongly agree,Do not understand at all,Agree,It doesn't,Not at all aligned,Somewhat decreases trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
25 - 34,Female,United Kingdom,Several times a day,Disagree,Agree,Strongly agree,Disagree,Do not understand at all,Strongly agree,It makes me feel powerless over my own data whilst a company exploit it for their own pockets.,Not at all aligned,Significantly decreases trust,Greatly increases my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
25 - 34,Female,UK,Several times a day,Agree,Strongly agree,Strongly agree,Agree,Do not understand at all,Strongly agree,,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,UK,Several times a day,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat do not understand,Agree,,Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,United states,Several times a day,Neither agree nor disagree,Agree,Agree,Strongly agree,Somewhat understand,Agree,,Very aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,Somewhat decreases my willingness to continue
18 - 24,Male,Greece ,Several times a day,Disagree,Agree,Strongly agree,Strongly agree,Somewhat do not understand,Strongly agree,Makes me clearly understand my how my data is being exploited without my permission for the economic gains of several corporations. ,Moderately aligned,Somewhat increases trust,Somewhat decreases my willingness,I skim the policy for key changes,Somewhat decreases my willingness to continue
